Leitura;Leitura_filtrada;Escrita;ModoOperacao;ValorDesejado;CicloInicio;CicloFim
2.435150;0.000000;3.000000;0;0.000000;14595687017;14595688976
2.434163;2.434163;3.000000;0;0.000000;14596165546;14596165573
2.430546;4.868327;3.000000;0;0.000000;14596665549;14596665590
2.433177;4.864710;3.000000;0;0.000000;14597165558;14597165584
2.424956;2.424956;3.000000;0;0.000000;14597665567;14597665594
2.426929;-0.010194;4.000000;0;0.000000;14598165594;14598165635
2.429888;-0.008221;4.000000;0;0.000000;14598665576;14598665604
2.449948;2.449948;4.000000;0;0.000000;14599165575;14599165603
2.444687;4.890031;3.000000;0;0.000000;14599665579;14599665620
2.442714;2.442714;3.000000;0;0.000000;14600165613;14600165641
2.440741;2.440741;3.000000;0;0.000000;14600665591;14600665618
2.446331;2.446331;7.000000;0;0.000000;14601165631;14601165671
2.461458;2.461458;7.000000;0;0.000000;14601665637;14601665665
2.467707;2.467707;7.000000;0;0.000000;14602165643;14602165671
2.431862;2.431862;4.000000;0;0.000000;14602665652;14602665694
2.467049;2.467049;4.000000;0;0.000000;14603165664;14603165692
2.474612;2.474612;4.000000;0;0.000000;14603665669;14603665697
2.530846;2.530846;3.000000;0;0.000000;14604165679;14604165720
2.560772;2.560772;3.000000;0;0.000000;14604665688;14604665715
2.499276;2.499276;3.000000;0;0.000000;14605165700;14605165727
2.512431;2.512431;4.000000;0;0.000000;14605665712;14605665754
2.453566;2.453566;4.000000;0;0.000000;14606165717;14606165745
2.498290;2.498290;4.000000;0;0.000000;14606665658;14606665686
2.495001;2.495001;6.000000;0;0.000000;14607165715;14607165755
2.574584;2.574584;6.000000;0;0.000000;14607665715;14607665743
2.493686;2.493686;6.000000;0;0.000000;14608165724;14608165751
2.504209;2.504209;6.000000;0;0.000000;14608665718;14608665761
2.599906;2.599906;6.000000;0;0.000000;14609165724;14609165752
2.526571;2.526571;6.000000;0;0.000000;14609665713;14609665740
2.502236;2.502236;7.000000;0;0.000000;14610165774;14610165816
2.537095;2.537095;7.000000;0;0.000000;14610665714;14610665742
2.504538;2.504538;7.000000;0;0.000000;14611165711;14611165739
2.540054;2.540054;5.000000;0;0.000000;14611665730;14611665772
2.481190;2.481190;5.000000;0;0.000000;14612165740;14612165767
2.506182;2.506182;5.000000;0;0.000000;14612665810;14612665838
2.544329;2.544329;7.000000;0;0.000000;14613165748;14613165789
2.480203;2.480203;7.000000;0;0.000000;14613665780;14613665808
2.585765;2.585765;7.000000;0;0.000000;14614165774;14614165802
2.511115;2.511115;5.000000;0;0.000000;14614665780;14614665820
2.468364;2.468364;5.000000;0;0.000000;14615165814;14615165840
2.467049;2.467049;5.000000;0;0.000000;14615665864;14615665892
2.611087;2.611087;7.000000;0;0.000000;14616165808;14616165850
2.515719;2.515719;7.000000;0;0.000000;14616665863;14616665890
2.456854;2.456854;7.000000;0;0.000000;14617165828;14617165856
2.459485;2.459485;7.000000;0;0.000000;14617665915;14617665956
2.506182;2.506182;7.000000;0;0.000000;14618165841;14618165868
2.557812;2.557812;7.000000;0;0.000000;14618665927;14618665954
2.444687;2.444687;4.000000;0;0.000000;14619165864;14619165905
2.549591;2.549591;4.000000;0;0.000000;14619665949;14619665976
2.487109;2.487109;4.000000;0;0.000000;14620165903;14620165931
2.498290;2.498290;7.000000;0;0.000000;14620665963;14620666005
2.479216;2.479216;7.000000;0;0.000000;14621165973;14621166001
2.507827;2.507827;7.000000;0;0.000000;14621665981;14621666008
2.540054;2.540054;3.000000;0;0.000000;14622165974;14622166015
2.421996;2.421996;3.000000;0;0.000000;14622666007;14622666035
2.475270;2.475270;3.000000;0;0.000000;14623165981;14623166007
2.513417;2.513417;5.000000;0;0.000000;14623666014;14623666057
2.438110;2.438110;5.000000;0;0.000000;14624166022;14624166050
2.451922;2.451922;5.000000;0;0.000000;14624666028;14624666054
2.546631;2.546631;6.000000;0;0.000000;14625166040;14625166083
2.505854;2.505854;6.000000;0;0.000000;14625666050;14625666076
2.510129;2.510129;6.000000;0;0.000000;14626166061;14626166088
2.454881;2.454881;4.000000;0;0.000000;14626666065;14626666107
2.458499;2.458499;4.000000;0;0.000000;14627166045;14627166072
2.524927;2.524927;4.000000;0;0.000000;14627666085;14627666112
2.499276;2.499276;7.000000;0;0.000000;14628166091;14628166132
2.492042;2.492042;7.000000;0;0.000000;14628666101;14628666129
2.478230;2.478230;7.000000;0;0.000000;14629166036;14629166064
2.490397;2.490397;5.000000;0;0.000000;14629666115;14629666156
2.495330;2.495330;5.000000;0;0.000000;14630166130;14630166157
2.489740;2.489740;5.000000;0;0.000000;14630666132;14630666159
2.480861;2.480861;7.000000;0;0.000000;14631166142;14631166185
2.501907;2.501907;7.000000;0;0.000000;14631666156;14631666184
2.503223;2.503223;7.000000;0;0.000000;14632166160;14632166188
2.477243;2.477243;7.000000;0;0.000000;14632666168;14632666210
2.476914;2.476914;7.000000;0;0.000000;14633166177;14633166204
2.472310;2.472310;7.000000;0;0.000000;14633666185;14633666213
2.474941;2.474941;3.000000;0;0.000000;14634166201;14634166242
2.451264;2.451264;3.000000;0;0.000000;14634666201;14634666228
2.498619;2.498619;3.000000;0;0.000000;14635166212;14635166240
2.489411;2.489411;4.000000;0;0.000000;14635666220;14635666260
7.966158;2.536766;4.000000;0;0.000000;14636166231;14636166259
2.470009;2.470009;4.000000;0;0.000000;14636666239;14636666265
2.482834;2.482834;7.000000;0;0.000000;14637166251;14637166294
2.479216;2.479216;7.000000;0;0.000000;14637666254;14637666282
2.490397;2.490397;7.000000;0;0.000000;14638166266;14638166293
2.492371;2.492371;4.000000;0;0.000000;14638666274;14638666315
2.491055;2.491055;4.000000;0;0.000000;14639166285;14639166312
5.040988;2.493028;4.000000;0;0.000000;14639666287;14639666314
2.594644;2.594644;4.000000;0;0.000000;14640166285;14640166328
2.515390;2.515390;4.000000;0;0.000000;14640666312;14640666338
2.514733;2.514733;4.000000;0;0.000000;14641166320;14641166347
2.507827;2.507827;6.000000;0;0.000000;14641666325;14641666366
2.502565;2.502565;6.000000;0;0.000000;14642166346;14642166373
2.492699;2.492699;6.000000;0;0.000000;14642666349;14642666377
2.509800;2.509800;7.000000;0;0.000000;14643166352;14643166393
2.508813;2.508813;7.000000;0;0.000000;14643666356;14643666384
2.498290;2.498290;7.000000;0;0.000000;14644166368;14644166396
2.515719;2.515719;4.000000;0;0.000000;14644666341;14644666382
2.513088;2.513088;4.000000;0;0.000000;14645166387;14645166415
2.522954;2.522954;3.000000;0;0.000000;14645666397;14645666425
2.483492;2.483492;6.000000;0;0.000000;14646166403;14646166446
2.491713;2.491713;6.000000;0;0.000000;14646666419;14646666447
2.495659;2.495659;6.000000;0;0.000000;14647166420;14647166446
2.489411;2.489411;5.000000;0;0.000000;14647666431;14647666490
2.495988;2.495988;5.000000;0;0.000000;14648166439;14648166467
2.494344;2.494344;5.000000;0;0.000000;14648666457;14648666484
2.489082;2.489082;6.000000;0;0.000000;14649166453;14649166494
2.491713;2.491713;6.000000;0;0.000000;14649666466;14649666493
2.511773;2.511773;6.000000;0;0.000000;14650166469;14650166496
2.511115;2.511115;6.000000;0;0.000000;14650666479;14650666521
2.503880;2.503880;6.000000;0;0.000000;14651166487;14651166514
2.500592;2.500592;6.000000;0;0.000000;14651666476;14651666504
2.500592;2.500592;4.000000;0;0.000000;14652166506;14652166552
2.501578;2.501578;4.000000;0;0.000000;14652666512;14652666544
2.524269;2.524269;4.000000;0;0.000000;14653166520;14653166551
2.511773;2.511773;4.000000;0;0.000000;14653666532;14653666573
2.516377;2.516377;4.000000;0;0.000000;14654166542;14654166570
2.501250;2.501250;4.000000;0;0.000000;14654666547;14654666574
2.518679;2.518679;4.000000;0;0.000000;14655166555;14655166598
2.503223;2.503223;4.000000;0;0.000000;14655666565;14655666593
2.488095;2.488095;4.000000;0;0.000000;14656166584;14656166611
2.496975;2.496975;4.000000;0;0.000000;14656666591;14656666634
2.493686;2.493686;4.000000;0;0.000000;14657166594;14657166621
2.495659;2.495659;4.000000;0;0.000000;14657666566;14657666593
2.553537;2.497632;5.000000;0;0.000000;14658166610;14658166652
2.523612;2.523612;5.000000;0;0.000000;14658666588;14658666615
2.542027;2.542027;5.000000;0;0.000000;14659166633;14659166661
2.492371;2.560443;3.000000;0;0.000000;14659666634;14659666676
2.588725;2.588725;3.000000;0;0.000000;14660166645;14660166672
2.535450;2.535450;3.000000;0;0.000000;14660666652;14660666680
2.499934;2.499934;7.000000;0;0.000000;14661166662;14661166703
2.501250;2.501250;7.000000;0;0.000000;14661666594;14661666621
2.546303;2.546303;7.000000;0;0.000000;14662166683;14662166711
