Leitura;Leitura_filtrada;Escrita;ModoOperacao;ValorDesejado;CicloInicio;CicloFim
2.731118;0.000000;0.000000;0;0.000000;16334258364;16334259158
2.819580;2.731118;0.000000;0;0.000000;16334737079;16334737106
2.764004;5.462236;0.000000;0;0.000000;16335237086;16335237112
2.740984;5.495122;0.000000;0;0.000000;16335737037;16335737064
2.794587;2.794587;0.000000;0;0.000000;16336237002;16336237028
2.773869;0.094052;0.000000;0;0.000000;16336737108;16336737134
2.764990;0.073334;0.000000;0;0.000000;16337237122;16337237148
2.821553;2.821553;0.000000;0;0.000000;16337737128;16337737155
2.773211;5.492491;0.000000;0;0.000000;16338237137;16338237163
2.734736;2.734736;0.000000;0;0.000000;16338737145;16338737172
2.748219;2.748219;0.000000;0;0.000000;16339237169;16339237196
2.766306;2.766306;0.000000;0;0.000000;16339737161;16339737186
2.818264;2.818264;0.000000;0;0.000000;16340237092;16340237123
2.771567;2.771567;0.000000;0;0.000000;16340737178;16340737204
2.757755;2.757755;0.000000;0;0.000000;16341237187;16341237214
2.766963;2.766963;0.000000;0;0.000000;16341737195;16341737221
2.780775;2.780775;0.000000;0;0.000000;16342237202;16342237227
2.763017;2.763017;3.000000;0;0.000000;16342737212;16342737237
2.817278;2.817278;3.000000;0;0.000000;16343237242;16343237283
2.792614;2.792614;3.000000;0;0.000000;16343737231;16343737257
2.749863;2.749863;3.000000;0;0.000000;16344237239;16344237266
2.808728;2.808728;3.000000;0;0.000000;16344737249;16344737275
2.758084;2.758084;3.000000;0;0.000000;16345237258;16345237284
2.775513;2.775513;3.000000;0;0.000000;16345737276;16345737302
2.777815;2.777815;3.000000;0;0.000000;16346237276;16346237303
2.759728;2.759728;3.000000;0;0.000000;16346737288;16346737314
2.751507;2.751507;3.000000;0;0.000000;16347237300;16347237326
2.785050;2.785050;3.000000;0;0.000000;16347737302;16347737329
2.738353;2.738353;3.000000;0;0.000000;16348237308;16348237335
2.773540;2.773540;3.000000;0;0.000000;16348737326;16348737352
2.800835;2.800835;3.000000;0;0.000000;16349237339;16349237366
2.799849;2.799849;3.000000;0;0.000000;16349737310;16349737337
2.779131;2.779131;3.000000;0;0.000000;16350237343;16350237369
2.768936;2.768936;3.000000;0;0.000000;16350737315;16350737342
2.770252;2.770252;3.000000;0;0.000000;16351237361;16351237387
2.835365;2.835365;3.000000;0;0.000000;16351737368;16351737395
2.739011;2.739011;3.000000;0;0.000000;16352237380;16352237407
2.794258;2.794258;3.000000;0;0.000000;16352737346;16352737373
2.749863;2.749863;3.000000;0;0.000000;16353237394;16353237421
2.764661;2.764661;3.000000;0;0.000000;16353737406;16353737433
2.813003;2.813003;3.000000;0;0.000000;16354237419;16354237446
2.763346;2.763346;3.000000;0;0.000000;16354737424;16354737451
2.779789;2.779789;3.000000;0;0.000000;16355237432;16355237459
2.758742;2.758742;3.000000;0;0.000000;16355737450;16355737476
2.752165;2.752165;3.000000;0;0.000000;16356237449;16356237476
2.784393;2.784393;3.000000;0;0.000000;16356737383;16356737409
2.820895;2.820895;3.000000;0;0.000000;16357237465;16357237492
2.805768;2.805768;3.000000;0;0.000000;16357737475;16357737503
2.760715;2.760715;3.000000;0;0.000000;16358237483;16358237508
2.797547;2.797547;3.000000;0;0.000000;16358737495;16358737526
2.774527;2.774527;3.000000;0;0.000000;16359237501;16359237532
2.830103;2.830103;3.000000;0;0.000000;16359737507;16359737538
2.769265;2.769265;3.000000;0;0.000000;16360237515;16360237549
2.827472;2.827472;3.000000;0;0.000000;16360737529;16360737557
2.806755;2.806755;3.000000;0;0.000000;16361237535;16361237561
2.815962;2.815962;3.000000;0;0.000000;16361737528;16361737555
2.780775;2.780775;3.000000;0;0.000000;16362237551;16362237577
2.757098;2.757098;3.000000;0;0.000000;16362737481;16362737516
2.752165;2.752165;3.000000;0;0.000000;16363237568;16363237595
2.759400;2.759400;3.000000;0;0.000000;16363737591;16363737618
2.756440;2.756440;3.000000;0;0.000000;16364237596;16364237622
2.779131;2.779131;3.000000;0;0.000000;16364737598;16364737625
2.780446;2.780446;3.000000;0;0.000000;16365237606;16365237632
2.758413;2.758413;3.000000;0;0.000000;16365737613;16365737640
2.725528;2.725528;3.000000;0;0.000000;16366237630;16366237656
2.753480;2.753480;3.000000;0;0.000000;16366737629;16366737655
2.737366;2.737366;3.000000;0;0.000000;16367237554;16367237580
2.751507;2.751507;3.000000;0;0.000000;16367737648;16367737675
2.774198;2.774198;3.000000;0;0.000000;16368237661;16368237688
2.775513;2.775513;3.000000;0;0.000000;16368737643;16368737670
2.778473;2.778473;3.000000;0;0.000000;16369237599;16369237625
2.790970;2.790970;3.000000;0;0.000000;16369737683;16369737710
2.796560;2.796560;3.000000;0;0.000000;16370237701;16370237728
2.795245;2.795245;3.000000;0;0.000000;16370737701;16370737727
2.796231;2.796231;3.000000;0;0.000000;16371237684;16371237711
2.797876;2.797876;3.000000;0;0.000000;16371737715;16371737742
2.802808;2.802808;3.000000;0;0.000000;16372237715;16372237741
2.802479;2.802479;3.000000;0;0.000000;16372737727;16372737753
2.810043;2.810043;3.000000;0;0.000000;16373237728;16373237754
2.767950;2.809714;3.000000;0;0.000000;16373737714;16373737740
2.786694;2.786694;3.000000;0;0.000000;16374237685;16374237712
2.880747;2.763675;3.000000;0;0.000000;16374737726;16374737752
2.846546;2.846546;3.000000;0;0.000000;16375237707;16375237732
2.836351;2.929417;3.000000;0;0.000000;16375737712;16375737738
2.770252;2.919222;3.000000;0;0.000000;16376237765;16376237792
2.808399;2.808399;3.000000;0;0.000000;16376737738;16376737763
2.796231;2.796231;5.000000;0;0.000000;16377237733;16377237759
2.789325;2.789325;5.000000;0;0.000000;16377737718;16377737745
2.824184;2.824184;5.000000;0;0.000000;16378237755;16378237781
2.770581;2.770581;5.000000;0;0.000000;16378737837;16378737864
2.772554;2.772554;5.000000;0;0.000000;16379237771;16379237798
2.740655;2.740655;5.000000;0;0.000000;16379737779;16379737806
2.820238;2.820238;5.000000;0;0.000000;16380237820;16380237846
2.755453;2.755453;5.000000;0;0.000000;16380737813;16380737842
2.771238;2.771238;5.000000;0;0.000000;16381237881;16381237908
2.754467;2.754467;5.000000;0;0.000000;16381737896;16381737922
2.764004;2.764004;5.000000;0;0.000000;16382237869;16382237895
2.749205;2.749205;5.000000;0;0.000000;16382737872;16382737898
2.759728;2.759728;5.000000;0;0.000000;16383237838;16383237865
2.747890;2.747890;5.000000;0;0.000000;16383737857;16383737883
2.755125;2.755125;5.000000;0;0.000000;16384237932;16384237959
2.758413;2.758413;5.000000;0;0.000000;16384737943;16384737969
2.720595;2.720595;5.000000;0;0.000000;16385237954;16385237980
2.720266;2.720266;5.000000;0;0.000000;16385737962;16385737988
2.715333;2.715333;5.000000;0;0.000000;16386237890;16386237916
2.707770;2.707770;5.000000;0;0.000000;16386737976;16386738003
2.709743;2.709743;5.000000;0;0.000000;16387237988;16387238014
2.688367;2.688367;5.000000;0;0.000000;16387737995;16387738021
2.715004;2.715004;5.000000;0;0.000000;16388238001;16388238027
2.810372;2.810372;5.000000;0;0.000000;16388738018;16388738045
2.673898;2.837009;5.000000;0;0.000000;16389238021;16389238047
2.660086;2.660086;5.000000;0;0.000000;16389738027;16389738053
2.667321;2.523612;5.000000;0;0.000000;16390238040;16390238067
2.704481;2.704481;5.000000;0;0.000000;16390738043;16390738069
2.665348;2.665348;5.000000;0;0.000000;16391238055;16391238082
2.714676;2.714676;5.000000;0;0.000000;16391738069;16391738095
2.658770;2.658770;5.000000;0;0.000000;16392238073;16392238100
2.672911;2.672911;5.000000;0;0.000000;16392738079;16392738105
2.723226;2.723226;5.000000;0;0.000000;16393238089;16393238114
2.670609;2.670609;5.000000;0;0.000000;16393738096;16393738122
2.687710;2.687710;5.000000;0;0.000000;16394238124;16394238150
2.691656;2.691656;5.000000;0;0.000000;16394738117;16394738143
2.682448;2.682448;5.000000;0;0.000000;16395238129;16395238155
2.679488;2.679488;5.000000;0;0.000000;16395738137;16395738163
2.690012;2.690012;5.000000;0;0.000000;16396238142;16396238169
2.688038;2.688038;5.000000;0;0.000000;16396738151;16396738178
2.652851;2.652851;5.000000;0;0.000000;16397238169;16397238196
2.645945;2.645945;5.000000;0;0.000000;16397738165;16397738192
2.637724;2.637724;5.000000;0;0.000000;16398238196;16398238222
2.658770;2.658770;5.000000;0;0.000000;16398738183;16398738209
2.653509;2.653509;5.000000;0;0.000000;16399238203;16399238229
2.659428;2.659428;5.000000;0;0.000000;16399738201;16399738227
2.688696;2.688696;5.000000;0;0.000000;16400238218;16400238244
2.657455;2.657455;5.000000;0;0.000000;16400738218;16400738244
2.667649;2.667649;5.000000;0;0.000000;16401238206;16401238233
2.648905;2.648905;5.000000;0;0.000000;16401738235;16401738262
2.659099;2.659099;5.000000;0;0.000000;16402238242;16402238268
2.614704;2.614704;5.000000;0;0.000000;16402738253;16402738280
2.673569;2.673569;5.000000;0;0.000000;16403238263;16403238289
2.606154;2.606154;5.000000;0;0.000000;16403738270;16403738296
2.662388;2.662388;5.000000;0;0.000000;16404238281;16404238308
2.603852;2.603852;5.000000;0;0.000000;16404738288;16404738314
2.656468;2.656468;5.000000;0;0.000000;16405238295;16405238321
2.639039;2.639039;5.000000;0;0.000000;16405738306;16405738333
2.631147;2.631147;5.000000;0;0.000000;16406238349;16406238375
2.615691;2.615691;5.000000;0;0.000000;16406738324;16406738351
2.641999;2.641999;5.000000;0;0.000000;16407238332;16407238359
2.644959;2.644959;5.000000;0;0.000000;16407738297;16407738324
2.642985;2.642985;5.000000;0;0.000000;16408238352;16408238378
2.646603;2.646603;5.000000;0;0.000000;16408738358;16408738385
2.630818;2.630818;5.000000;0;0.000000;16409238366;16409238394
2.649234;2.649234;5.000000;0;0.000000;16409738385;16409738412
2.641012;2.641012;5.000000;0;0.000000;16410238384;16410238411
2.649234;2.649234;5.000000;0;0.000000;16410738394;16410738421
2.664032;2.664032;5.000000;0;0.000000;16411238400;16411238427
2.634106;2.634106;5.000000;0;0.000000;16411738410;16411738436
2.641999;2.641999;5.000000;0;0.000000;16412238416;16412238442
2.634106;2.634106;5.000000;0;0.000000;16412738426;16412738451
2.646603;2.646603;5.000000;0;0.000000;16413238445;16413238472
2.652193;2.652193;5.000000;0;0.000000;16413738444;16413738471
2.644301;2.644301;5.000000;0;0.000000;16414238368;16414238414
2.641670;2.641670;5.000000;0;0.000000;16414738460;16414738487
2.638710;2.638710;5.000000;0;0.000000;16415238380;16415238407
2.646603;2.646603;5.000000;0;0.000000;16415738483;16415738510
2.639697;2.639697;5.000000;0;0.000000;16416238438;16416238479
2.620295;2.620295;5.000000;0;0.000000;16416738499;16416738529
2.602536;2.602536;5.000000;0;0.000000;16417238506;16417238536
2.610100;2.610100;5.000000;0;0.000000;16417738516;16417738545
2.627201;2.627201;5.000000;0;0.000000;16418238530;16418238556
2.603194;2.603194;5.000000;0;0.000000;16418738532;16418738558
2.607469;2.607469;5.000000;0;0.000000;16419238546;16419238593
2.601221;2.601221;5.000000;0;0.000000;16419738550;16419738576
2.608127;2.608127;5.000000;0;0.000000;16420238557;16420238584
2.602865;2.602865;5.000000;0;0.000000;16420738565;16420738592
2.594644;2.594644;5.000000;0;0.000000;16421238559;16421238585
2.614375;2.614375;5.000000;0;0.000000;16421738518;16421738550
2.600563;2.600563;5.000000;0;0.000000;16422238574;16422238599
2.616019;2.616019;5.000000;0;0.000000;16422738602;16422738629
2.588396;2.588396;5.000000;0;0.000000;16423238609;16423238636
2.586423;2.586423;5.000000;0;0.000000;16423738619;16423738645
2.600235;2.600235;5.000000;0;0.000000;16424238628;16424238656
2.649563;2.649563;5.000000;0;0.000000;16424738639;16424738665
2.610429;2.663374;5.000000;0;0.000000;16425238644;16425238670
2.641999;2.641999;5.000000;0;0.000000;16425738654;16425738682
2.588725;2.588725;5.000000;0;0.000000;16426238596;16426238622
2.617993;2.617993;5.000000;0;0.000000;16426738677;16426738704
2.605496;2.605496;5.000000;0;0.000000;16427238672;16427238699
2.583463;2.583463;5.000000;0;0.000000;16427738682;16427738708
2.648576;2.570967;5.000000;0;0.000000;16428238697;16428238722
2.594973;2.594973;5.000000;0;0.000000;16428738696;16428738723
2.602208;2.602208;5.000000;0;0.000000;16429238721;16429238747
2.580503;2.580503;5.000000;0;0.000000;16429738657;16429738683
2.589382;2.589382;5.000000;0;0.000000;16430238719;16430238746
2.578201;2.578201;5.000000;0;0.000000;16430738643;16430738670
2.580503;2.580503;5.000000;0;0.000000;16431238713;16431238739
2.621939;2.621939;5.000000;0;0.000000;16431738723;16431738749
2.602208;2.602208;5.000000;0;0.000000;16432238719;16432238745
2.581490;2.581490;5.000000;0;0.000000;16432738717;16432738743
2.560114;2.560114;5.000000;0;0.000000;16433238713;16433238739
2.612073;2.539397;5.000000;0;0.000000;16433738718;16433738745
2.627529;2.627529;5.000000;0;0.000000;16434238720;16434238747
2.628516;2.628516;5.000000;0;0.000000;16434738711;16434738737
2.573597;2.573597;5.000000;0;0.000000;16435238743;16435238770
2.587080;2.587080;5.000000;0;0.000000;16435738719;16435738746
2.586752;2.586752;5.000000;0;0.000000;16436238810;16436238836
2.564061;2.564061;5.000000;0;0.000000;16436738737;16436738764
2.584121;2.584121;5.000000;0;0.000000;16437238820;16437238846
2.593000;2.593000;5.000000;0;0.000000;16437738807;16437738834
2.608127;2.608127;5.000000;0;0.000000;16438238830;16438238857
2.583463;2.583463;5.000000;0;0.000000;16438738770;16438738796
2.556497;2.556497;5.000000;0;0.000000;16439238808;16439238834
2.591355;2.531833;5.000000;0;0.000000;16439738902;16439738931
2.585107;2.585107;5.000000;0;0.000000;16440238885;16440238912
2.594973;2.594973;5.000000;0;0.000000;16440738836;16440738862
2.582148;2.582148;5.000000;0;0.000000;16441238920;16441238946
2.571295;2.571295;5.000000;0;0.000000;16441738929;16441738956
2.610758;2.610758;5.000000;0;0.000000;16442238931;16442238957
2.591027;2.591027;5.000000;0;0.000000;16442738947;16442738974
2.598261;2.598261;5.000000;0;0.000000;16443238909;16443238935
2.585107;2.585107;5.000000;0;0.000000;16443738965;16443738992
2.590369;2.590369;5.000000;0;0.000000;16444238975;16444239002
2.607798;2.607798;5.000000;0;0.000000;16444738983;16444739010
2.608785;2.608785;5.000000;0;0.000000;16445238977;16445239004
2.611087;2.611087;5.000000;0;0.000000;16445738998;16445739024
2.597275;2.597275;5.000000;0;0.000000;16446239014;16446239040
2.602208;2.602208;5.000000;0;0.000000;16446739019;16446739045
2.597275;2.597275;5.000000;0;0.000000;16447239022;16447239049
2.605825;2.605825;5.000000;0;0.000000;16447739034;16447739060
2.603852;2.603852;5.000000;0;0.000000;16448239041;16448239068
